city,state,price,year,make,model,condition,cylinders,fuel,odometer,title,transmission,drive,size,type,color,lat,long
asheville,NC,4300,2008,mitsubishi,outlander,good,6 cylinders,gas,117000,clean,automatic,fwd,mid-size,SUV,blue,35.5986,-82.2902
detroit metro,MI,11995,2012,chevrolet,volt,excellent,4 cylinders,hybrid,48750,clean,automatic,fwd,compact,hatchback,black,42.58998,-83.03095
space coast,FL,0,2018,gmc,sierra 1500,excellent,8 cylinders,gas,13760,clean,automatic,rwd,mid-size,truck,white,28.815590000000004,-81.30914
southwest michigan,IN,5995,2009,pontiac,g6,excellent,6 cylinders,gas,102278,clean,automatic,fwd,compact,sedan,white,42.303000000000004,-85.1304
visalia,CA,0,2010,honda,cr-v ex,excellent,4 cylinders,gas,97084,clean,automatic,fwd,mid-size,SUV,black,36.32725,-119.276729
okaloosa ,FL,11500,2016,honda,civic,good,4 cylinders,gas,85350,clean,automatic,fwd,compact,sedan,blue,30.421475,-86.701598
rochester,MN,15899,2010,acura,mdx,excellent,6 cylinders,gas,114129,clean,automatic,4wd,full-size,SUV,white,44.843645,-93.02113100000001
central NJ,NJ,4300,2007,dodge,nitro,excellent,6 cylinders,gas,142908,clean,automatic,4wd,full-size,SUV,black,40.036204,-74.617829
boulder,CO,3890,2006,audi,a4 quattro,good,4 cylinders,gas,131715,clean,automatic,4wd,mid-size,sedan,silver,39.998000000000005,-105.0963
wilmington,NC,950,2007,cadillac,cts,salvage,6 cylinders,gas,150000,clean,automatic,rwd,full-size,sedan,black,34.1572,-77.9141
southwest michigan,IN,13995,2017,chevrolet,equinox,good,4 cylinders,gas,91439,clean,automatic,4wd,full-size,SUV,blue,41.701766,-86.00061600000001
tulsa,OK,4900,2006,toyota,sienna ce,good,4 cylinders,gas,159000,clean,automatic,fwd,full-size,mini-van,custom,36.0284,-95.9306
appleton,WI,10423,2011,ford,edge,excellent,6 cylinders,gas,101129,clean,automatic,fwd,mid-size,SUV,black,44.52039,-88.06645
louisville,KY,12995,2005,toyota,4runner,excellent,6 cylinders,gas,79607,clean,automatic,4wd,full-size,SUV,white,38.159627,-85.69770799999999
buffalo,NY,6700,2007,cadillac,srx,excellent,6 cylinders,gas,106000,clean,automatic,4wd,full-size,SUV,white,42.717631,-78.829311
danville,NC,22000,2017,gmc,2500 savana cargo,good,8 cylinders,gas,2192,salvage,automatic,rwd,full-size,van,white,35.401224,-80.200882
chico,CA,12500,2010,ford,f-150,excellent,8 cylinders,gas,153263,clean,automatic,4wd,full-size,pickup,grey,39.724153,-121.83106200000002
mansfield,OH,6995,2008,jeep,grand cherokee,excellent,6 cylinders,gas,136562,clean,automatic,4wd,mid-size,SUV,black,40.7627,-82.5593
ft myers ,FL,8995,2010,ford,edge,good,6 cylinders,gas,109738,clean,automatic,4wd,full-size,SUV,black,26.6204,-81.8725
boulder,CO,10995,2009,ford,econoline,good,8 cylinders,gas,105705,clean,automatic,rwd,full-size,van,custom,40.1779,-105.1009
minneapolis ,MN,8999,2008,lexus,is250 awd,good,6 cylinders,gas,76867,clean,automatic,4wd,mid-size,sedan,red,44.9995,-93.0969
North Providence,RI,6750,2004,toyota,tacoma,excellent,6 cylinders,gas,180000,clean,automatic,4wd,mid-size,pickup,white,41.82506,-71.47550600000001
eastern NC,NC,16450,2015,mini,van,excellent,6 cylinders,gas,90000,clean,automatic,fwd,full-size,mini-van,grey,36.105816,-77.441597
asheville,NC,13995,2006,toyota,tacoma prerunner access c,excellent,6 cylinders,gas,116843,clean,automatic,rwd,mid-size,truck,black,35.190556,-83.368454
sandusky,OH,5000,2007,cadillac,sts,excellent,6 cylinders,gas,142210,clean,automatic,4wd,full-size,sedan,white,41.338258,-83.07935400000001
st cloud,MN,3995,2004,chevrolet,suburban,good,8 cylinders,gas,199442,clean,automatic,4wd,full-size,SUV,custom,45.683596,-92.964836
greenville ,SC,14995,2012,chevrolet,express 2500,like new,8 cylinders,gas,60188,clean,automatic,rwd,full-size,van,silver,34.974176,-81.957375
joplin,MO,6500,2011,honda,cr-v lx,good,4 cylinders,gas,205000,clean,automatic,4wd,mid-size,SUV,silver,37.1597,-94.3112
louisville,KY,12490,2009,chevrolet,express,good,6 cylinders,gas,60760,clean,automatic,rwd,mid-size,van,white,40.468826,-74.281734
new orleans,LA,15500,2014,chevrolet,silverado 1500,excellent,6 cylinders,gas,143787,clean,automatic,rwd,full-size,truck,white,29.975627000000003,-90.172586
topeka,KS,4500,2013,mercedes-benz,bens smart car,excellent,3 cylinders,gas,37000,clean,automatic,rwd,compact,coupe,blue,39.1102,-95.8552
la crosse,WI,13486,2007,cadillac,escalade,excellent,8 cylinders,gas,121200,clean,automatic,4wd,full-size,SUV,white,43.827921,-91.302009
new haven,CT,3950,2006,chevrolet,colorado,excellent,4 cylinders,gas,104875,clean,manual,rwd,full-size,pickup,blue,41.198029999999996,-73.19267099999999
omaha ,NE,0,2014,chrysler,300,excellent,8 cylinders,gas,84291,clean,automatic,4wd,full-size,sedan,white,41.16917,-95.92626
sioux falls ,SD,4500,2004,chevrolet,suburban,good,8 cylinders,gas,206000,clean,automatic,4wd,full-size,SUV,white,43.548844,-96.790516
st cloud,MN,11995,2011,chevrolet,traverse lt awd,excellent,6 cylinders,gas,88000,clean,automatic,4wd,full-size,truck,red,44.608867,-95.664989
detroit metro,MI,10995,2010,ford,explorer sport trac,excellent,6 cylinders,gas,108738,clean,automatic,4wd,mid-size,pickup,silver,42.549690999999996,-82.90133
oklahoma city,OK,0,2016,chevrolet,malibu,excellent,4 cylinders,gas,68343,clean,automatic,fwd,mid-size,sedan,red,34.19709,-97.16056
buffalo,NY,11750,2005,ford,thunderbird,good,8 cylinders,gas,82700,clean,automatic,rwd,compact,convertible,red,43.2128,-77.9368
amarillo,TX,8499,2009,infiniti,ex35 journey,excellent,6 cylinders,gas,132032,clean,automatic,4wd,compact,SUV,silver,35.1663,-101.8868
huntsville ,AL,10900,2007,toyota,fj cruiser 4x4,good,6 cylinders,gas,199500,clean,automatic,4wd,full-size,SUV,blue,34.708978,-86.586316
fayetteville,AR,2500,2006,subaru,legacy wagon,excellent,6 cylinders,gas,195810,clean,automatic,4wd,full-size,wagon,black,36.253196,-94.17277800000001
Colchester,VT,8498,2013,subaru,outback limited,good,4 cylinders,gas,154216,clean,automatic,4wd,full-size,wagon,silver,44.439495,-73.210154
southwest michigan,IN,22595,2015,ford,f-150,good,8 cylinders,gas,96492,clean,automatic,4wd,full-size,truck,green,41.701766,-86.00061600000001
baltimore,MD,2975,2002,toyota,tacoma,fair,4 cylinders,gas,273000,clean,automatic,rwd,full-size,pickup,grey,39.3361,-76.5014
texarkana,AR,0,2016,nissan,altima sr,good,4 cylinders,gas,72318,clean,automatic,fwd,full-size,sedan,black,33.21152,-92.656674
billings,MT,19500,2014,chevrolet,suburban lt 1500 4x4,excellent,8 cylinders,gas,145000,clean,automatic,fwd,full-size,other,white,45.165293,-109.282074
modesto,CA,9995,2003,toyota,tacoma,like new,4 cylinders,gas,164388,clean,manual,rwd,compact,pickup,red,37.475693,-120.848979
